xe_id,chuyen_id,vong_id,time,addresss,lat,lon,note
Xe 12m3 15C34755,Chuyến 1,Vòng 1,5h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",20.8127963087,106.7522107396,
Xe 12m3 15C34755,Chuyến 1,Vòng 1,5h40,"Đình Hàng Kênh, Nguyễn Công Trứ, Hàng Kênh",20.8464395518,106.6840266665,2
Xe 12m3 15C34755,Chuyến 1,Vòng 1,5h55,192 Hàng Kênh,20.8478570090,106.6855022684,2
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h00,"Đối diện 189 Đình Đông, Hàng Kênh",20.8440669407,106.6870834972,4
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h05,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,5
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h10,"111 Cầu Đất, Ngô Quyền (Rạp Công nhân)",20.8541779683,106.6838083864,4
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h15,"98  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8534963295,106.6809091484,2
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h18,"138  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8530865330,106.6792751066,1
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h25,"324  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8519987807,106.6735301006,1
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h28,"Bể Việt Tiệp, 53 Lạch Tray, Đằng Giang, Ngô Quyền ",20.8488847354,106.6922283956,3
Xe 12m3 15C34755,Chuyến 1,Vòng 1,6h30,"125 Nguyễn Đức Cảnh, Cát Dài",20.8540761537,106.6719239192,3
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h00,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,6
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h10,"47 Nguyễn Công Trứ, Hàng Kênh",20.8466592833,106.6839660541,3
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h15,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h20,"60  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8536890231,106.6822668937,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h25,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h30,"Bể Việt Tiệp, 53 Lạch Tray, Đằng Giang, Ngô Quyền ",20.8488847354,106.6922283956,16
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h40,"40/35 Nguyễn Đức Cảnh, Cát Dài",20.8552151026,106.6780565702,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,8h50,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,5
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h00,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,5
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h05,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h20,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,2
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h30,"8 or 22 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8540092788,106.6831354107,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h35,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h40,"Bể Việt Tiệp, 53 Lạch Tray, Đằng Giang, Ngô Quyền ",20.8488847354,106.6922283956,8
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h45,"20 Nguyễn Đức Cảnh, Cát Dài",20.8558365984,106.6807100414,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,9h50,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,1
Xe 12m3 15C34755,Chuyến 1,Vòng 2,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",20.8127963087,106.7522107396,
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h20,"8 Hồ Sen, Trại Cau, Lê Chân",20.8497749013,106.6807173837,6
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h25,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,5
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h35,192 Hàng Kênh,20.8478369562,106.6855344549,2
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h40,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,3
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h50,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,5
Xe 12m3 15C34755,Chuyến 2,Vòng 1,11h55,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,5
Xe 12m3 15C34755,Chuyến 2,Vòng 1,12h05,"53 Lạch Tray, Đằng Giang, Ngô Quyền",20.8488847354,106.6922283956,6
Xe 12m3 15C34755,Chuyến 2,Vòng 1,12h30,"Nguyễn Đức Cảnh, Cát Dài",20.8547000526,106.6745718496,4
Xe 12m3 15C34755,Chuyến 2,Vòng 1,13h30-14h00,Đình Vũ-XNVT,,,
Xe 9m3 15C28542,Chuyến 1,Vòng 1,12h30,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h00,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h15,192 Hàng Kênh,20.8478369562,106.6855344549,2
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h25,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h35,"12 Chợ Con, Trại Cau",20.8502716220,106.6841214242,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h45,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h55,"196 Tô Hiệu, Trại Cau",20.8513064306,106.6795095242,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h05,"53 Lạch Tray, Đằng Giang, Ngô Quyền, Hải Phòng, Việt Nam",20.8488847354,106.6922283956,5
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h15,"Đối diện 30 Trần Nguyên Hãn, Cát Dài",20.8521851485,106.6707130437,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h25,"57 Nguyễn Đức Cảnh, Cát Dài",20.8551983236,106.6769582521,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h35,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h45,"60  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8538851571,106.6822710549,2
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h50,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h55,"186  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8528810980,106.6773809107,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,15h05,Ngã 3 Hồ Sen,20.8458989592,106.6818008961,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,15h15,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,15h30,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,7
Xe 9m3 15C28542,Chuyến 1,Vòng 1,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28542,Chuyến 2,Vòng 1,17h30,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,12
Xe 9m3 15C28542,Chuyến 2,Vòng 1,18h40,"Đường đôi Hồ Sen, Trại Cau",,,4
Xe 9m3 15C28542,Chuyến 2,Vòng 1,19h00,"256 Tô Hiệu, Trại Cau",20.8507951624,106.6769894684,3
Xe 9m3 15C28542,Chuyến 2,Vòng 1,19h15,"12 Chợ Con, Trại Cau",20.8503618582,106.6841965261,8
Xe 9m3 15C28542,Chuyến 2,Vòng 1,20h30-21h00,Trạm bơm HS,20.8497640592,106.6813728093,7
Xe 9m3 15C28542,Chuyến 2,Vòng 1,22h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28567,Chuyến 1,Vòng 1,14h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28567,Chuyến 1,Vòng 1,14h45,"56 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8538183750,106.6820259261,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h05,"199 Tô Hiệu, Trại Cau",20.8508294788,106.6791304549,2
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h15,"Bể Việt Tiệp, 53 Lạch Tray, Đằng Giang, Ngô Quyền ",20.8488847354,106.6922283956,10
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h20,"125 Nguyễn Đức Cảnh, Cát Dài (Bãi xe TT)",20.9873733407,105.8506695959,2
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h25,"35 Nguyễn Đức Cảnh, Cát Dài",20.9876027736,105.8485024629,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h30,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h35,"138 Hai Bà Trưng, An Biên",20.8530715687,106.6792796470,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h50,"47 Nguyễn Công Trứ, Hàng Kênh (Đình Hàng Kênh)",20.8466800463,106.6839699590,4
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h00,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,6
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h05,85 Hàng Kênh,20.8502994745,106.6856557396,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h10,"111 Cầu Đất, Ngô Quyền (Rạp Công nhân)",20.8541779683,106.6838083864,2
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h15,"56 Hai Bà Trưng, An Biên ",20.8538384270,106.6819830107,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h20,"138 Hai Bà Trưng, An Biên",20.8529924554,106.6792835881,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h25,"62 Nguyễn Đức Cảnh, Cát Dài",20.8551052215,106.6766029081,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h30,"187 Tô Hiệu, Trại Cau",20.8510503523,106.6795813388,3
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h35,"133 Tô Hiệu, Trại Cau",20.8515661658,106.6816166369,2
Xe 9m3 15C28567,Chuyến 1,Vòng 1,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28567,Chuyến 2,Vòng 1,18h20,"33 Nguyễn Đức Cảnh, Cát Dài",20.8534655107,106.6684897864,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,18h30,"20 Nguyễn Đức Cảnh, Cát Dài",20.8558065207,106.6806456684,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,18h50,"20-30  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8537796383,106.6829430761,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,18h55,"138  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8532006455,106.6792799972,4
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h00,"160-180  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8530296978,106.6782750107,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h05,"236-240  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8526499026,106.6757599837,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h10,"Ngõ Đặng Kim Nở, Cát Dài",20.8546275409,106.6745762841,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h15,"278-282 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8522997979,106.6744515499,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h20,"125 Nguyễn Đức Cảnh, Cát Dài",20.8542459249,106.6719838540,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h40,"119 Nguyễn Đức Cảnh, Cát Dài",20.8544304743,106.6730236972,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,19h45,"66 Nguyễn Đức Cảnh, Cát Dài",20.8534659579,106.6685048498,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h00,"20-30 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8539435789,106.6829352684,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h05,"96  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8548051478,106.6814521107,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h10,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8533410101,106.6792585396,4
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h15,"170 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8530250500,106.6781862549,2
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h20,"186  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8529312283,106.6774023684,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h25,"66 Nguyễn Đức Cảnh, Cát Dài",20.8536429013,106.6684942684,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h30,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8532608018,106.6792799972,3
Xe 9m3 15C28567,Chuyến 2,Vòng 1,20h50-21h00,"170  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8530551281,106.6781862549,1
Xe 9m3 15C28567,Chuyến 2,Vòng 1,22h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 15C28568,Chuyến 1,Vòng 1,15h30,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 15C28568,Chuyến 1,Vòng 1,16h20-18h00,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8468166634,106.6839728972,25
Xe 15C28568,Chuyến 1,Vòng 1,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 15C28568,Chuyến 2,Vòng 1,19h15,"289A Lâm Tường, Hồ Nam",20.8499712536,106.6744702684,6
Xe 15C28568,Chuyến 2,Vòng 1,20h00,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8468166634,106.6839728972,9
Xe 15C28568,Chuyến 2,Vòng 1,20h30,192 Hàng Kênh,20.8478369562,106.6855344549,5
Xe 15C28568,Chuyến 2,Vòng 1,20h50,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,2
Xe 15C28568,Chuyến 2,Vòng 1,21h30,Quán Mau,20.8425785767,106.6911471371,1
Xe 15C28568,Chuyến 2,Vòng 1,22h30,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,17h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,17h45,"125, 119 Nguyễn Đức Cảnh, Cát Dài (Bãi xe TT)",20.8543802948,106.6730451387,7
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,18h05,"53 Lạch Tray, Đằng Giang, Ngô Quyền, Hải Phòng, Việt Nam",20.8498674800,106.6925620819,22
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,20h00,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,7
Xe 12m3 : 15C34672,Chuyến 1,Vòng 1,20h10-20h35,"289A Lâm Tường, Hồ Nam",20.8499712536,106.6744702684,14
Xe 12m3 : 15C34672,,Vòng 1,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h00,"12 Chợ Con, Trại Cau",20.8503618582,106.6841321531,5
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h15,"97  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8532856581,106.6800150684,2
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h30,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8531705674,106.6792799972,9
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h40,"231 Tô Hiệu, Trại Cau",20.8506444790,106.6777296414,3
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h50,"12 Chợ Con, Trại Cau",20.8503518319,106.6841428819,3
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,22h55,Kainan,20.8450960312,106.6857828174,3
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h00,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,7
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h10,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466070925,106.6839761525,15
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h30,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,6
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h40,"159 Tô Hiệu, Trại Cau",20.8511037923,106.6813452655,4
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,23h50,"100  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8534893932,106.6809681703,2
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,24h00,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8531705674,106.6792799972,8
Xe 12m3 : 15C34672,Chuyến 2,Vòng 1,1h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 12m3 15C34761,Chuyến 2,Vòng 1,17h15,"8 Hồ Sen, Trại Cau, Lê Chân",20.8497448315,106.6807422933,7
Xe 12m3 15C34761,Chuyến 2,Vòng 1,17h25-17h45,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,
Xe 12m3 15C34761,Chuyến 2,Vòng 1,17h50,"8 Hồ Sen, Trại Cau, Lê Chân",20.8497448315,106.6807422933,20
Xe 12m3 15C34761,Chuyến 2,Vòng 1,20h15-20h30,Cầu Quán Nải,20.8418313441,106.6778825196,7
Xe 12m3 15C34761,Chuyến 2,Vòng 1,21h00-21h30,"8 Hồ Sen, Trại Cau, Lê Chân",20.8497448315,106.6807422933,10
Xe 12m3 15C34761,Chuyến 2,Vòng 1,22h30,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,